month,vol_1m,vol_3m,vol_6m,vol_12m,semineg_6m,semi_ratio_6m,vol_win_6m,vol_los_6m,vol_gap_6m,mkt_vol_1m,mkt_vol_6m,mkt_ret_1m,mkt_ret_12m,mkt_drawdown,bear,rebound,fvar_126,disp_signal,n_stocks,bm_spread,tgt_var_next,tgt_vol_next,tgt_semineg_next,tgt_wml_next
1991-02,12.036537,,,,,,,,,22.378127,,,,-0.025263,0.0,0.0,,0.116457,720.0,-0.197613,0.002455,17.164224,13.85172,-0.075162
1991-03,16.534087,,,,,,,,,11.524888,,-0.009657,,-0.042959,0.0,0.0,,0.11131,729.0,-0.173173,0.001894,15.075766,7.949929,0.006855
1991-04,14.570424,14.82971,,,,,,,,16.772603,,-0.014498,,-0.064185,0.0,0.0,,0.131491,732.0,-0.02969,0.000485,7.625354,5.015227,0.012315
1991-05,6.558509,11.193809,,,,,,,,10.162283,,-0.045885,,-0.113877,0.0,0.0,,0.114802,733.0,-0.006541,0.000607,8.532198,5.242511,0.013678
1991-06,8.089075,10.42263,,,,,,,,12.435314,,0.002606,,-0.120431,0.0,0.0,,0.140257,742.0,-0.05041,0.001719,14.360367,8.075445,0.060277
1991-07,13.794766,10.080576,12.039613,,7.965144,0.437686,17.658673,14.021149,-3.637525,24.409581,15.925851,0.171915,,-0.023477,0.0,0.0,0.001208,0.155065,749.0,-0.000538,0.002135,16.005602,7.786416,0.059644
1991-08,14.079528,12.838667,11.694889,,6.346638,0.294507,19.75889,16.937541,-2.821349,31.169796,20.406154,-0.104915,,-0.104915,0.0,0.0,0.00114,0.269523,749.0,-0.267123,0.001387,12.902741,3.396734,0.10314
1991-09,12.484558,13.921989,11.425737,,5.865497,0.263537,18.74866,16.73663,-2.01203,13.811888,19.916368,0.045364,,-0.074453,0.0,0.0,0.001088,0.299657,755.0,-0.206045,0.005146,24.849073,16.963674,0.06451
1991-10,22.332014,17.239233,14.832129,,8.685515,0.342913,20.724733,18.136648,-2.588084,14.651503,20.528178,-0.024274,,-0.084777,0.0,0.0,0.001833,0.221396,755.0,-0.249255,0.008478,31.89582,25.758468,-0.057983
1991-11,23.448257,23.86267,19.420661,,13.46999,0.481068,22.736333,18.571867,-4.164466,13.206774,20.828832,-0.040169,,-0.1435,0.0,0.0,0.003143,0.233687,755.0,-0.184485,0.004652,23.628343,14.537206,0.083108
1991-12,23.628343,25.616611,20.968071,17.198914,14.381964,0.470456,24.321597,22.837198,-1.484399,30.034788,23.123485,-0.065253,-0.078969,-0.199389,0.0,0.0,0.003664,0.232597,755.0,-0.162273,0.015291,42.836434,30.266459,-0.039502
1992-01,33.058667,30.85954,26.465806,20.566464,18.678844,0.498115,25.387504,25.423944,0.03644,28.239154,22.383934,0.055236,0.071943,-0.085362,0.0,0.0,0.005837,0.30461,762.0,-0.227234,0.014969,42.381939,33.779079,-0.073064
1992-02,41.021732,36.758951,31.315562,23.737802,23.164916,0.547194,25.381178,30.282769,4.901591,18.363492,23.093466,-0.114943,0.02016,-0.177889,0.0,0.0,0.008172,0.414854,768.0,-0.293563,0.027161,57.090914,17.789852,0.433077
1992-03,54.876839,44.961237,38.257962,28.585936,24.073784,0.395954,26.194542,33.823093,7.628552,18.100432,23.469898,-0.03637,-0.013946,-0.184613,0.0,0.0,0.012197,0.404606,772.0,-0.463121,0.021485,50.776481,45.55252,-0.331654
1992-04,40.992676,47.114228,41.204037,32.035177,28.001131,0.461819,26.685055,36.417072,9.732017,19.405748,24.344564,0.044633,0.066585,-0.172151,0.0,0.0,0.014148,0.639551,773.0,-0.286075,0.012304,38.425083,22.113778,0.101006
1992-05,31.606555,46.180295,43.0178,33.701571,28.686858,0.444702,26.61353,35.789773,9.176243,17.669201,23.291155,-0.062535,-0.10428,-0.229075,0.0,0.0,0.015421,0.586807,774.0,-0.207352,0.005233,25.058243,23.208074,-0.131683
1992-06,23.552976,34.330878,40.819153,34.107572,28.340595,0.482048,23.979148,33.150536,9.171388,16.681354,18.567968,-0.025052,-0.176978,-0.256046,0.0,0.0,0.013885,0.654973,773.0,-0.141203,0.006039,26.920903,21.72731,-0.056986
1992-07,24.327584,25.140758,38.006054,34.821865,25.466386,0.448982,24.535104,29.195707,4.660604,20.708448,18.541603,-0.047642,-0.239349,-0.312772,0.0,0.0,0.012037,0.487116,773.0,-0.126669,0.012451,38.653348,23.804989,0.113447
1992-08,37.57569,28.728748,33.494344,36.117216,26.272354,0.615255,25.873444,32.263082,6.389638,38.336072,22.918384,0.141942,-0.192243,-0.240673,0.0,0.0,0.009349,0.466046,775.0,-0.151841,0.011728,37.514992,29.958306,-0.035012
1992-09,35.098066,33.682382,31.264985,36.590395,22.718253,0.527999,25.378422,32.65051,7.272088,25.946671,23.902452,-0.087955,-0.19577,-0.307226,0.0,0.0,0.008146,0.542177,776.0,-0.133198,0.010494,35.485681,30.203841,-0.143143
1992-10,35.092458,35.543784,30.314155,37.222539,23.760922,0.614378,25.118486,35.015016,9.89653,30.077198,26.170704,0.176351,0.044569,-0.16807,1.0,1.0,0.007658,0.437925,776.0,-0.070047,0.01617,44.049299,35.586656,-0.13779
1992-11,42.23573,34.206451,33.790864,37.608647,26.188215,0.600639,23.557585,39.459624,15.902039,35.994638,29.78519,0.051116,0.004806,-0.102702,0.0,0.0,0.009515,0.399283,776.0,-0.12043,0.007799,30.592106,25.868041,-0.111029
1992-12,30.581074,36.112934,34.36406,36.597937,26.916173,0.613504,22.117089,40.404349,18.28726,22.106618,29.911649,0.026635,0.070087,-0.084401,0.0,0.0,0.009841,0.461191,778.0,-0.068204,0.003786,21.313774,14.997925,0.024102
1993-01,20.617916,30.947921,33.333059,34.245839,26.820979,0.647439,21.631584,39.070063,17.438479,14.290185,29.105625,-0.040341,0.103589,-0.08445,0.0,0.0,0.009259,0.369402,780.0,-0.141683,0.001375,12.846834,6.564745,0.065396
1993-02,10.568243,21.940622,28.844799,31.074914,22.94662,0.632852,17.583987,34.122846,16.538859,19.157372,25.843473,-0.049878,0.114654,-0.119541,0.0,0.0,0.006934,0.428933,782.0,-0.144621,0.001084,11.405902,9.960082,-0.046422
1993-03,10.792491,14.498096,25.909644,28.339674,20.960874,0.654479,18.446067,33.193217,14.74715,24.710968,25.806201,0.084053,0.173602,-0.086805,0.0,0.0,0.005594,0.526598,783.0,-0.256677,0.001802,14.706175,11.865073,-0.023158
1993-04,14.265053,11.756281,20.603617,27.229803,17.088295,0.687877,18.652917,26.688562,8.035645,17.406511,21.344298,0.034733,0.288283,-0.022215,0.0,0.0,0.003538,0.335849,784.0,-0.244672,0.000853,10.115664,3.616228,0.072647
1993-05,9.802887,11.81223,15.33478,26.288137,11.474465,0.559899,18.763219,22.142154,3.378935,13.446817,19.434756,0.044201,0.5119,0.0,0.0,0.0,0.00196,0.364066,784.0,-0.117075,0.002522,17.396999,14.136859,-0.047773
1993-06,16.031611,12.885772,12.383494,25.746127,9.092185,0.539076,18.843862,18.313451,-0.530412,14.135868,18.061,-0.007533,0.585116,-0.036303,0.0,0.0,0.001278,0.538233,784.0,-0.201752,0.000873,10.232411,7.71185,-0.001179
1993-07,8.864643,12.332897,11.944669,22.075977,9.241065,0.598544,17.558614,16.517469,-1.041144,11.263356,16.556322,-0.026551,0.427365,-0.060532,0.0,0.0,0.001189,0.651395,784.0,-0.543723,0.002762,18.204053,16.139068,-0.097363
1993-08,17.763724,13.688219,13.249262,20.528805,10.563806,0.635708,21.847759,17.307633,-4.540126,34.056782,19.164164,-0.077587,0.182204,-0.143329,0.0,0.0,0.001463,0.790345,784.0,-0.327649,0.00183,14.818643,8.877488,0.074991
