month,ExpandingMean,RW126,EWMA,HAR,HARX,Ridge,Lasso,RF,HGB,MLP,LSTM,ENS
2001-12,0.268,0.307,0.3048,0.2764,0.2436,0.2665,0.2666,0.2495,0.2511,0.2234,0.243,0.264
2002-01,0.268,0.3096,0.314,0.2924,0.2679,0.2832,0.2994,0.2679,0.2458,0.2404,0.239,0.2715
2002-02,0.268,0.3066,0.3213,0.2805,0.2443,0.2774,0.2833,0.2646,0.2605,0.2591,0.2598,0.2724
2002-03,0.268,0.346,0.3534,0.3605,0.3092,0.3105,0.363,0.3014,0.3388,0.1755,0.2576,0.3347
2002-04,0.268,0.3457,0.3724,0.3501,0.3171,0.3543,0.3314,0.2952,0.3245,0.2373,0.2615,0.3422
2002-05,0.268,0.3597,0.3695,0.3811,0.3197,0.3292,0.3263,0.3038,0.2744,0.2759,0.344,0.3195
2002-06,0.268,0.3588,0.356,0.2939,0.2454,0.2875,0.2683,0.288,0.302,0.3753,0.3511,0.2943
2002-07,0.268,0.2606,0.2186,0.1601,0.162,0.159,0.151,0.214,0.2814,0.1897,0.3174,0.1814
2002-08,0.268,0.2543,0.2288,0.2186,0.2099,0.2184,0.2562,0.2247,0.2459,0.204,0.2795,0.2266
2002-09,0.268,0.2524,0.2592,0.2835,0.2808,0.2953,0.3044,0.2849,0.2907,0.1897,0.2452,0.2897
2002-10,0.268,0.2526,0.2893,0.3439,0.3063,0.2882,0.3083,0.2653,0.2556,0.1841,0.27,0.2895
2002-11,0.268,0.2549,0.3112,0.343,0.3723,0.2712,0.3028,0.2798,0.2258,0.1547,0.241,0.2682
2002-12,0.2702,0.2532,0.311,0.2731,0.307,0.2579,0.2648,0.2757,0.3028,0.2688,0.3479,0.2761
2003-01,0.2702,0.3312,0.331,0.3269,0.2922,0.2841,0.2942,0.3028,0.2746,0.275,0.3257,0.2927
2003-02,0.2702,0.3892,0.3583,0.3473,0.2981,0.2838,0.2999,0.2969,0.2801,0.255,0.2855,0.2995
2003-03,0.2702,0.3552,0.3239,0.2622,0.2388,0.2577,0.2446,0.2536,0.2428,0.2995,0.2529,0.2538
2003-04,0.2702,0.3282,0.3037,0.2576,0.2715,0.2501,0.2625,0.2628,0.2565,0.169,0.2524,0.2547
2003-05,0.2702,0.3131,0.3099,0.2742,0.27,0.2773,0.2867,0.3098,0.3041,0.3255,0.3149,0.2843
2003-06,0.2702,0.3173,0.3063,0.2644,0.3056,0.2707,0.2892,0.304,0.3073,0.2745,0.304,0.279
2003-07,0.2702,0.3193,0.3359,0.3508,0.3994,0.3235,0.3528,0.357,0.3366,0.2291,0.3622,0.3364
2003-08,0.2702,0.319,0.3533,0.3311,0.3808,0.3079,0.3447,0.3495,0.3739,0.2167,0.364,0.3344
2003-09,0.2702,0.332,0.3507,0.2997,0.3373,0.2743,0.319,0.3307,0.3031,0.1207,0.3606,0.2915
2003-10,0.2702,0.345,0.3609,0.3271,0.3292,0.2635,0.3349,0.3349,0.3028,0.2011,0.3202,0.2942
2003-11,0.2702,0.3666,0.3736,0.3336,0.3291,0.2729,0.3447,0.2966,0.2547,0.1546,0.2976,0.2817
2003-12,0.273,0.3041,0.2602,0.1943,0.2108,0.1941,0.2158,0.2565,0.2331,0.2292,0.2873,0.2049
2004-01,0.273,0.2979,0.2857,0.2541,0.2635,0.2536,0.2957,0.3237,0.347,0.3249,0.2872,0.2761
2004-02,0.273,0.296,0.311,0.3055,0.3187,0.3137,0.3484,0.334,0.3508,0.348,0.2885,0.3216
2004-03,0.273,0.2973,0.311,0.2817,0.2656,0.2887,0.3066,0.346,0.348,0.1868,0.3072,0.3022
2004-04,0.273,0.2228,0.2006,0.1565,0.1914,0.1961,0.1796,0.2827,0.4176,0.1735,0.2638,0.2033
2004-05,0.273,0.1956,0.1834,0.161,0.1914,0.2558,0.1962,0.2493,0.3246,0.2857,0.3501,0.2176
2004-06,0.273,0.2098,0.2096,0.2698,0.2935,0.3968,0.3394,0.3274,0.349,0.5613,0.3267,0.3256
2004-07,0.273,0.2194,0.2456,0.4005,0.4328,0.4062,0.3963,0.5197,0.5694,0.7936,0.338,0.4416
2004-08,0.273,0.2224,0.2836,0.4581,0.5529,0.3733,0.3965,0.5272,0.5696,0.3792,0.3704,0.4469
2004-09,0.273,0.2105,0.2534,0.2278,0.3,0.2576,0.2572,0.2762,0.3152,0.3438,0.3898,0.2599
2004-10,0.273,0.2254,0.2097,0.1785,0.2157,0.2166,0.2018,0.2522,0.3055,0.3301,0.3668,0.2175
2004-11,0.273,0.2767,0.2393,0.309,0.3379,0.3778,0.3731,0.3413,0.4058,0.6346,0.3339,0.3569
2004-12,0.2674,0.2232,0.1936,0.1658,0.1998,0.2239,0.2105,0.2481,0.2388,0.5979,0.2789,0.2015
2005-01,0.2674,0.1909,0.1753,0.1654,0.1921,0.2506,0.2068,0.2527,0.2828,0.8955,0.3032,0.2149
2005-02,0.2674,0.1829,0.1904,0.2125,0.2468,0.3948,0.2819,0.2507,0.2773,0.9923,0.2894,0.2686
2005-03,0.2674,0.1932,0.2214,0.3329,0.3649,0.5059,0.3596,0.3931,0.4227,0.9477,0.2739,0.4024
2005-04,0.2674,0.2214,0.2565,0.3633,0.3577,0.4154,0.3531,0.3975,0.363,0.4775,0.2989,0.3783
2005-05,0.2674,0.2231,0.294,0.3938,0.388,0.3762,0.3613,0.411,0.465,0.5866,0.2937,0.4067
2005-06,0.2674,0.2721,0.3332,0.3975,0.3348,0.3578,0.3527,0.4519,0.4794,0.5364,0.2858,0.4028
2005-07,0.2674,0.4349,0.3843,0.4803,0.4026,0.371,0.4013,0.5252,0.5446,0.5307,0.2397,0.4476
2005-08,0.2674,0.5981,0.4271,0.4284,0.3511,0.3947,0.3873,0.5532,0.4976,0.3976,0.2569,0.4343
2005-09,0.2674,0.6208,0.4692,0.4375,0.3574,0.3656,0.3907,0.5051,0.472,0.3999,0.3099,0.4177
2005-10,0.2674,0.66,0.5302,0.5193,0.4318,0.4175,0.403,0.5888,0.4777,0.39,0.3314,0.4658
2005-11,0.2674,0.6799,0.5541,0.4335,0.3464,0.3462,0.3795,0.4633,0.4662,0.4539,0.343,0.4053
2005-12,0.272,0.6529,0.5376,0.4039,0.385,0.4249,0.3988,0.3364,0.3234,0.4685,0.5576,0.3759
2006-01,0.272,0.4757,0.389,0.2582,0.2408,0.3076,0.3032,0.2457,0.2355,0.1452,0.5461,0.2623
2006-02,0.272,0.4683,0.4231,0.3761,0.3495,0.3925,0.3768,0.4427,0.386,0.1579,0.4924,0.3847
2006-03,0.272,0.4733,0.4727,0.4645,0.4316,0.4187,0.4043,0.5563,0.5508,0.1826,0.5007,0.469
2006-04,0.272,0.4729,0.5329,0.5233,0.485,0.395,0.4152,0.5799,0.5551,0.1937,0.5007,0.4748
2006-05,0.272,0.4676,0.5464,0.4392,0.4103,0.393,0.3814,0.5761,0.4977,0.2097,0.483,0.4372
2006-06,0.272,0.4505,0.4951,0.3489,0.3383,0.3831,0.3419,0.2905,0.3093,0.2193,0.4905,0.3431
