model,QLIKE,RMSE_vol,OOS_R2,DM_vs_RW126,p,n
ENS,0.2532,11.421,38.9478,-2.8198,0.0048,292
Ridge,0.2699,11.6678,35.09,-2.3316,0.0197,292
RF,0.2715,11.7964,33.7781,-1.9524,0.0509,292
HAR,0.2736,12.5709,28.2959,-2.1246,0.0336,292
HARX,0.2812,12.5685,30.8296,-1.6106,0.1073,292
HGB,0.2905,11.7263,33.3601,-1.0935,0.2742,292
EWMA,0.2912,12.0209,33.6345,-3.2174,0.0013,292
Lasso,0.2921,12.1728,32.6776,-1.3149,0.1886,292
RW126,0.3338,12.7022,28.0166,,,292
LSTM,0.3679,19.7666,-439.3615,0.725,0.4684,292
ExpandingMean,0.4933,17.6981,0.0,3.391,0.0007,292
MLP,0.661,17.8676,-72.7018,2.7631,0.0057,292
