month,RW126_직전L,ENS_직전L,HARX_직전L
2002-06,0.3588,0.2943,0.2454
2003-05,0.3131,0.2843,0.27
2004-03,0.2973,0.3022,0.2656
2004-04,0.2228,0.2033,0.1914
2004-07,0.2194,0.4416,0.4328
2007-12,0.3534,0.3106,0.2792
2009-01,0.285,0.3025,0.2844
2009-03,0.2808,0.3197,0.3503
2009-12,0.5643,0.3687,0.3398
2011-06,0.3943,0.4204,0.3747
2011-09,0.3585,0.4489,0.3796
2011-11,0.3898,0.4733,0.3882
2011-12,0.3916,0.4572,0.4345
2012-11,0.547,0.3835,0.4063
2013-04,0.5006,0.4077,0.3413
2013-06,0.5057,0.4142,0.333
2014-10,0.4948,0.3542,0.325
2015-08,0.3618,0.3641,0.2923
2016-01,0.3565,0.3997,0.3746
2017-01,0.7987,0.503,0.4785
2019-01,0.5298,0.6127,0.608
2019-09,0.7214,0.5518,0.5272
2021-01,0.4379,0.4849,0.4371
2022-10,0.6261,0.4499,0.4378
2023-09,0.3373,0.3991,0.3763
2026-02,0.3121,0.2793,0.2516
